symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
NVDA,2016-09-09 00:00:00+00:00,59.52,62.3,59.0,61.95,17443966,58.6909483828,61.4322258778,58.1781914413,61.0871010133,17443966,0.0,1.0
NVDA,2016-09-12 00:00:00+00:00,60.75,60.865,57.315,58.73,14956524,59.9038157637,60.0172139334,56.5166617365,57.9119522601,14956524,0.0,1.0
NVDA,2016-09-13 00:00:00+00:00,59.87,61.3,59.53,60.6,11794183,59.0360732473,60.4461548364,58.7008090932,59.7559051075,11794183,0.0,1.0
NVDA,2016-09-14 00:00:00+00:00,60.4,60.6,59.51,60.01,7984326,59.5586908992,59.7559051075,58.6810876724,59.174123193,7984326,0.0,1.0
NVDA,2016-09-15 00:00:00+00:00,62.69,62.76,60.36,60.5,12884799,61.8167935839,61.8858185568,59.5192480575,59.6572980033,12884799,0.0,1.0
NVDA,2016-09-16 00:00:00+00:00,62.84,63.25,62.12,62.91,22561149,61.9647042401,62.3689933671,61.2547330904,62.033729213,22561149,0.0,1.0
NVDA,2016-09-19 00:00:00+00:00,63.67,65.26,63.21,63.5,10428207,62.7831432045,64.3509961603,62.3295505255,62.6155111275,10428207,0.0,1.0
NVDA,2016-09-20 00:00:00+00:00,63.09,64.4,62.74,64.4,8277832,62.2112220005,63.5029750647,61.866097136,63.5029750647,8277832,0.0,1.0
NVDA,2016-09-21 00:00:00+00:00,64.86,64.98,63.27,63.28,8405337,63.9565677437,64.0748962687,62.3887147879,62.3985754983,8405337,0.0,1.0
NVDA,2016-09-22 00:00:00+00:00,65.02,65.44,64.65,65.24,7718287,64.1143391103,64.5284889477,63.749492825,64.3312747394,7718287,0.0,1.0
NVDA,2016-09-23 00:00:00+00:00,64.95,65.29,64.66,65.1,6903344,64.0453141374,64.3805782915,63.7593535355,64.1932247937,6903344,0.0,1.0
NVDA,2016-09-26 00:00:00+00:00,64.34,64.6,63.53,64.21,5751035,63.4438108022,63.700189273,62.6450932587,63.3156215668,5751035,0.0,1.0
NVDA,2016-09-27 00:00:00+00:00,66.54,66.64,64.06,64.09,10068769,65.6131670932,65.7117741974,63.1677109106,63.1972930419,10068769,0.0,1.0
NVDA,2016-09-28 00:00:00+00:00,66.78,66.83,65.93,66.64,7994701,65.8498241432,65.8991276952,65.011663758,65.7117741974,7994701,0.0,1.0
NVDA,2016-09-29 00:00:00+00:00,67.4,67.61,66.0514,66.67,8417136,66.4611881888,66.6682631075,65.1313727824,65.7413563286,8417136,0.0,1.0
NVDA,2016-09-30 00:00:00+00:00,68.52,69.19,67.37,67.77,10748304,67.5655877552,68.2262553529,66.4316060576,66.8260344741,10748304,0.0,1.0
NVDA,2016-10-03 00:00:00+00:00,68.45,69.51,68.331,68.52,6064853,67.4965627823,68.5417980861,67.3792203283,67.5655877552,6064853,0.0,1.0
NVDA,2016-10-04 00:00:00+00:00,68.3,69.7,67.79,68.55,7040645,67.3486521261,68.729151584,66.845755895,67.5951698864,7040645,0.0,1.0
